Gene	mut.rate	dn.LoF	trans.LoF	nontrans.LoF	case.LoF	ctrl.LoF	dn.mis3	trans.mis3	nontrans.mis3	case.mis3	ctrl.mis3	p.dn	p.TADA	p.TADA.LoF	q.TADA
ATRNL1	5.42E-05	0	1	0	1	0	0	2	3	9	7	1	0.083	0.0666	0.922712207
MXRA7	7.74E-06	0	0	0	0	0	0	4	1	2	1	1	0.083	0.47	0.922128951
PGF	6.70E-06	0	0	0	0	0	0	5	0	3	3	1	0.083	0.46	0.921546431
TMEM61	8.48E-06	0	0	0	0	0	0	1	0	5	2	1	0.083	0.517	0.920964646
ZNF792	2.47E-05	0	0	0	0	0	0	1	1	7	2	1	0.083	0.512	0.920383596
FAHD1	9.79E-06	0	0	0	0	0	0	1	1	3	0	1	0.0831	0.449	0.920911475
LCP1	2.41E-05	0	0	0	0	0	0	0	1	4	0	1	0.0831	0.498	0.920331191
OR2G6	1.30E-05	0	0	0	7	2	0	2	0	1	1	1	0.0831	0.109	0.919751637
DYNC1LI1	2.02E-05	0	0	0	0	0	0	3	2	5	1	1	0.0832	0.463	0.920278918
TNFAIP2	2.54E-05	0	0	0	0	0	0	1	0	3	1	1	0.0832	0.499	0.919700126
NFE2	1.49E-05	0	0	0	0	0	0	2	1	6	2	1	0.0833	0.514	0.920226776
PREP	2.79E-05	0	0	0	0	0	0	1	0	3	1	1	0.0833	0.47	0.919648744
SKAP1	1.37E-05	0	0	0	0	0	0	1	0	3	1	1	0.0833	0.469	0.919071438
HSD17B8	1.02E-05	0	0	0	3	0	0	0	1	1	1	1	0.0835	0.0289	0.920700125
KLC1	2.33E-05	0	0	0	0	0	0	1	1	3	0	1	0.0835	0.488	0.920122884
PLCD3	3.13E-05	0	0	0	0	0	0	4	1	0	0	1	0.0835	0.486	0.919546366
OR2A14	1.28E-05	0	0	0	0	0	0	1	1	3	0	1	0.0836	0.499	0.920071133
TMEM99	1.09E-05	0	0	0	2	0	0	1	0	1	1	1	0.0836	0.0678	0.919495369
ERAL1	1.74E-05	0	0	0	0	0	0	2	1	2	0	1	0.0837	0.494	0.920019512
ALG14	8.74E-06	0	2	0	0	0	0	2	1	0	0	1	0.0838	0.0627	0.920543
GNGT1	2.75E-06	0	0	0	0	0	0	0	0	4	1	1	0.0838	0.469	0.91996802
HSPA4	3.21E-05	0	0	0	2	0	0	0	2	11	12	1	0.0838	0.068	0.919393758
IDO2	1.67E-05	0	1	0	1	0	0	3	3	4	1	1	0.0838	0.0674	0.918820212
TEC	2.40E-05	0	0	0	0	0	0	2	0	2	1	1	0.0838	0.481	0.918247382
GABRG2	2.07E-05	0	0	0	0	0	0	0	0	4	1	1	0.0839	0.502	0.918770343
KEAP1	2.46E-05	0	0	0	2	0	0	2	0	9	11	1	0.0839	0.0687	0.918198257
LRRC18	1.02E-05	0	0	0	0	0	0	2	1	4	1	1	0.0839	0.491	0.917626882
PGAM2	9.74E-06	0	0	0	2	0	0	1	2	9	10	1	0.0839	0.0671	0.917056219
GRK7	2.15E-05	0	0	0	0	0	0	1	1	3	0	1	0.084	0.48	0.91757862
INO80B	1.39E-05	0	0	0	0	0	0	1	0	3	1	1	0.084	0.47	0.917008696
LIPA	1.58E-05	0	0	0	0	0	0	3	1	1	0	1	0.0841	0.504	0.917530478
SMARCA4	6.51E-05	0	0	0	0	0	0	2	2	6	1	1	0.0841	0.524	0.91696129
ZNF831	6.59E-05	0	0	0	0	0	0	1	0	16	8	1	0.0842	0.495	0.917482455
C2orf61	9.96E-06	0	0	0	0	0	0	1	0	3	1	1	0.0844	0.497	0.919091945
DNAJC27	1.05E-05	0	0	0	0	0	0	2	0	4	2	1	0.0845	0.513	0.919611146
BEND5	1.61E-05	0	0	0	0	0	0	1	0	3	1	1	0.0846	0.493	0.920129703
NAGPA	2.04E-05	0	0	0	2	0	0	3	1	4	3	1	0.0846	0.0696	0.919560668
ZC3H6	4.58E-05	0	0	0	2	0	0	1	3	7	16	1	0.0846	0.0707	0.918992336
TMIGD2	1.10E-05	0	0	0	0	0	0	2	0	4	2	1	0.0847	0.49	0.919510315
FAM46C	1.56E-05	0	0	0	0	0	0	1	0	3	1	1	0.0848	0.486	0.920027654
HAAO	1.11E-05	0	0	0	0	0	0	0	0	4	1	1	0.0848	0.501	0.919460086
CALCOCO2	1.70E-05	0	0	0	2	0	0	0	0	10	13	1	0.0851	0.0675	0.92214402
CORO1B	1.91E-05	0	0	0	0	0	0	0	0	4	1	1	0.0851	0.483	0.921575847
SURF6	1.34E-05	0	0	0	0	0	0	0	0	6	2	1	0.0851	0.498	0.921008374
BEGAIN	2.34E-05	0	0	0	0	0	0	1	0	5	2	1	0.0852	0.474	0.9215232
IDH1	1.60E-05	0	1	0	1	0	0	1	1	1	0	1	0.0852	0.0686	0.920956458
PLXDC2	2.08E-05	0	0	0	0	0	0	0	0	4	1	1	0.0852	0.484	0.920390412
TST	1.18E-05	0	0	0	0	0	0	0	0	4	1	1	0.0852	0.488	0.919825061
SCML2	2.74E-05	0	0	0	0	0	0	0	0	6	2	1	0.0853	0.493	0.920339349
DDX25	1.88E-05	0	0	0	0	0	0	0	0	6	2	1	0.0854	0.497	0.920853006
KL	4.07E-05	0	0	0	1	0	0	6	5	15	4	1	0.0854	0.174	0.920288412
NPTX2	1.68E-05	0	0	0	0	0	0	0	0	4	1	1	0.0854	0.466	0.91972451
KBTBD5	2.45E-05	0	0	0	0	0	0	1	0	3	1	1	0.0855	0.498	0.9202376
ARHGAP24	2.86E-05	0	1	0	1	0	0	3	6	8	6	1	0.0856	0.0697	0.920750061
PCDHB16	3.07E-05	0	0	0	2	0	0	6	8	23	29	1	0.0856	0.0714	0.920186911
ITGB3	3.11E-05	0	1	0	1	0	1	4	5	4	3	1	0.0857	0.0699	0.920698778
CLP1	1.69E-05	0	0	0	0	0	0	2	0	4	2	1	0.0858	0.513	0.921210018
SERPINE3	1.71E-05	0	0	0	0	0	0	0	1	4	0	1	0.0858	0.474	0.920647619
ZNF764	1.63E-05	0	0	0	2	0	0	0	1	2	0	1	0.0859	0.0665	0.921158267
WAPAL	4.55E-05	0	0	0	2	0	0	3	5	8	7	1	0.086	0.0736	0.921668293
TTF1	3.41E-05	0	0	0	0	0	0	1	0	3	1	1	0.0861	0.486	0.922177697
KIAA1045	1.56E-05	0	1	0	0	0	0	1	1	16	6	1	0.0862	0.168	0.92268648
NMU	6.87E-06	0	0	0	0	0	0	1	0	3	1	1	0.0862	0.493	0.922124893
CCDC114	2.59E-05	0	1	0	1	0	0	1	3	9	5	1	0.0863	0.0661	0.92263309
HECW2	6.14E-05	0	0	0	0	0	0	1	3	16	5	1	0.0863	0.48	0.922072219
NOLC1	2.64E-05	0	0	0	0	0	0	3	0	3	2	1	0.0863	0.498	0.921512029
UGT2B15	4.19E-05	0	2	0	0	0	0	4	4	7	7	1	0.0863	0.0709	0.92095252
KIAA0232	5.37E-05	1	1	0	0	1	0	2	5	9	8	0.007379798	0.0865	0.0718	0.922526699
PGBD2	2.29E-05	0	0	0	0	0	0	1	1	12	5	1	0.0865	0.473	0.921967253
STX16	1.27E-05	0	0	0	0	0	0	1	0	5	2	1	0.0866	0.474	0.922473697
CLCN2	3.61E-05	0	0	0	2	0	0	4	2	4	3	1	0.0867	0.07	0.922979528
COL11A1	6.96E-05	0	0	0	1	0	0	17	17	24	11	1	0.086818665	0.15	0.923683323
GPHN	3.01E-05	0	0	0	0	0	0	0	0	4	1	1	0.0871	0.495	0.92611591
IFNA14	7.48E-06	0	0	0	0	0	0	4	1	2	1	1	0.0871	0.529	0.925555985
TMED4	9.00E-06	0	0	0	0	0	0	0	1	6	1	1	0.0871	0.501	0.924996737
FICD	1.81E-05	0	0	0	0	0	0	4	0	4	3	1	0.0873	0.5	0.92656087
HIST1H2BH	4.96E-06	0	0	0	2	0	0	0	1	2	0	1	0.0874	0.0648	0.927062402
KLK13	1.11E-05	0	1	0	1	0	0	0	0	2	1	1	0.0874	0.0683	0.926503257
WDR83	1.22E-05	0	0	0	2	0	0	1	0	1	1	1	0.0875	0.0658	0.927004219
C12orf43	9.96E-06	0	0	0	2	0	0	0	0	11	12	1	0.0876	0.0658	0.927504578
PHOSPHO2	9.48E-06	0	0	0	0	0	0	2	0	4	2	1	0.0877	0.489	0.928004335
TMEM120A	1.39E-05	0	2	0	0	0	0	1	1	3	1	1	0.0877	0.0699	0.927445969
GZMH	9.66E-06	0	0	0	0	0	0	5	2	1	0	1	0.0878	0.486	0.927945159
PRSS41	1.27E-05	0	0	0	0	0	0	2	1	4	1	1	0.0879	0.459	0.92844375
RNF114	9.05E-06	0	0	0	0	0	0	1	0	5	2	1	0.088	0.476	0.928941742
ARHGEF1	3.63E-05	0	0	0	0	0	0	1	1	7	2	1	0.0881	0.497	0.929439136
TMED5	9.05E-06	0	1	0	1	0	0	1	0	1	1	1	0.0881	0.067	0.928881584
ARHGEF10L	5.06E-05	0	0	0	0	0	1	3	0	11	8	1	0.0883	0.508	0.930432134
DIAPH2	4.23E-05	0	0	0	0	0	0	0	0	8	3	1	0.0883	0.482	0.929874655
LECT2	6.00E-06	0	2	0	0	0	0	0	1	2	0	1	0.0884	0.0648	0.930370299
ZNF862	4.57E-05	0	1	0	1	0	0	4	3	7	11	1	0.0884	0.0745	0.929813525
ADD3	2.74E-05	0	0	0	2	0	0	2	4	8	6	1	0.0885	0.0669	0.930308612
OLFM2	1.81E-05	0	0	0	0	0	0	3	2	3	0	1	0.0886	0.487	0.930803108
AMT	1.57E-05	0	1	0	4	1	0	1	1	1	0	1	0.0887	0.0976	0.931297013
SERPINB5	1.47E-05	0	0	0	0	0	0	0	0	6	2	1	0.0888	0.506	0.931790328
IL7R	1.81E-05	0	1	0	3	1	0	3	0	10	4	1	0.089	0.155	0.933331742
CHGB	2.49E-05	0	1	0	1	0	0	2	0	9	11	1	0.0891	0.0682	0.933823256
NOL11	2.81E-05	0	1	0	1	0	0	3	2	7	6	1	0.0891	0.0688	0.933266746
OPRL1	1.53E-05	0	0	0	0	0	1	2	4	10	3	1	0.0892	0.463	0.933757713
BRD9	2.28E-05	0	0	0	0	0	0	4	1	2	1	1	0.0894	0.464	0.935294286
HLTF	3.88E-05	0	0	0	2	0	0	1	0	9	10	1	0.0894	0.0718	0.934737894
ARID5A	2.34E-05	0	0	0	0	0	0	3	0	3	2	1	0.0895	0.488	0.935227111
UGT2B4	2.09E-05	0	0	0	0	0	0	7	3	6	3	1	0.0896	0.49	0.935715746
RHBDL1	1.76E-05	0	0	0	0	0	0	2	1	4	1	1	0.0897	0.482	0.9362038
THOC5	2.64E-05	0	0	0	0	0	0	2	1	4	1	1	0.0898	0.47	0.936691276
CEP120	3.80E-05	0	2	0	0	0	0	3	7	7	5	1	0.0899	0.0666	0.937178173
NELL2	3.41E-05	0	1	0	1	0	0	3	2	7	9	1	0.0899	0.0662	0.936622644
LIPF	1.63E-05	0	0	0	2	0	0	2	3	7	7	1	0.09	0.0726	0.937109005
MRPS28	7.22E-06	0	0	1	2	0	0	1	1	7	0	1	0.09	0.377	0.936554174
ACOT13	5.35E-06	0	0	0	2	1	0	4	0	4	1	1	0.0904	0.359	0.94016
NGLY1	2.54E-05	0	0	1	5	0	0	0	1	2	0	1	0.0904	0.1018	0.939604021
OR2C1	1.27E-05	0	0	0	2	0	0	6	8	3	2	1	0.0904	0.0658	0.9390487
GHR	2.50E-05	0	0	0	2	0	0	3	2	7	8	1	0.0906	0.0677	0.940570348
GLIPR1L1	9.27E-06	0	0	0	0	0	0	2	0	4	2	1	0.0906	0.479	0.940015112
OR2A5	1.28E-05	0	1	0	2	0	0	0	0	1	3	1	0.0906	0.0342	0.939460531
RG9MTD1	1.55E-05	0	1	0	1	0	0	1	0	1	1	1	0.0907	0.0698	0.939942925
CES3	2.27E-05	0	2	0	3	1	0	10	2	12	8	1	0.0908	0.1008	0.94042475
BICD2	3.28E-05	0	0	0	0	0	0	2	1	4	1	1	0.0909	0.486	0.940906007
SIGLEC7	1.85E-05	0	1	0	1	0	0	3	6	7	5	1	0.0909	0.0656	0.940352207
KCNQ2	3.46E-05	0	0	0	0	0	0	3	0	1	1	1	0.0912	0.48	0.942900706
OR52B2	1.36E-05	0	0	0	1	0	0	1	1	17	7	1	0.0914	0.153	0.944412934
OR5A2	1.34E-05	0	0	0	0	0	0	1	0	5	2	1	0.0914	0.488	0.943858049
PRODH	2.35E-05	0	2	0	0	0	0	1	5	8	4	1	0.0914	0.0665	0.943303817
TTC19	1.94E-05	0	0	0	2	0	0	1	2	6	3	1	0.0919	0.0689	0.947907512
CCDC34	1.37E-05	0	0	0	2	0	0	1	5	7	10	1	0.0921	0.0667	0.949413255
GALC	2.71E-05	0	0	0	2	0	0	2	0	8	12	1	0.0921	0.0711	0.948856741
OR4A5	1.30E-05	0	2	0	1	0	0	0	2	2	2	1	0.0921	0.0303	0.948300879
CCDC132	3.73E-05	0	0	0	2	0	0	2	2	8	7	1	0.0924	0.0686	0.950832787
EBF2	2.28E-05	0	0	0	0	0	0	2	1	4	1	1	0.0925	0.498	0.951304857
SV2B	2.71E-05	0	0	0	0	0	1	1	2	4	1	1	0.0928	0.532	0.953832047
BMP6	2.03E-05	0	0	0	0	0	0	1	1	5	1	1	0.0929	0.502	0.954301812
SAMD11	2.71E-05	0	1	0	1	0	0	0	0	9	8	1	0.093	0.0673	0.954771028
BAG1	1.31E-05	0	0	0	0	0	0	1	1	5	1	1	0.0931	0.494	0.955239696
AMDHD1	1.65E-05	0	2	0	0	0	0	1	1	9	10	1	0.0932	0.0715	0.955707818
SNX21	1.49E-05	0	0	0	2	0	0	1	2	7	12	1	0.0933	0.0671	0.956175394
IPO13	3.86E-05	0	0	0	0	0	0	1	0	5	2	1	0.0935	0.507	0.957666667
BAHD1	3.12E-05	0	0	0	0	0	0	2	0	11	6	1	0.0936	0.497	0.958132557
MYH14	7.74E-05	0	0	0	2	0	0	13	2	27	25	1	0.0937	0.0726	0.958597905
STK10	3.68E-05	0	0	0	2	0	0	4	1	5	9	1	0.0938	0.0682	0.959062711
SCMH1	2.64E-05	0	0	0	1	0	0	0	1	22	9	1	0.094	0.163	0.960548837
OR4Q3	1.30E-05	0	0	0	2	0	0	5	3	0	0	1	0.0941	0.0678	0.96101197
RIOK3	1.99E-05	0	0	0	1	0	0	8	4	16	7	1	0.0941	0.16	0.960453891
RGSL1	4.22E-05	0	2	0	0	0	0	4	4	6	5	1	0.0945	0.0745	0.963976785
CADPS	5.25E-05	0	0	1	5	0	0	8	4	10	5	1	0.0947	0.098	0.965456613
STON1-GTF2A1L	4.66E-05	0	0	0	5	1	0	4	4	18	19	1	0.0951	0.1003	0.968972522
FAM120A	4.42E-05	0	0	0	0	0	0	2	1	4	1	1	0.0956	0.475	0.973502665
TAX1BP1	3.00E-05	0	0	0	2	0	0	5	4	5	4	1	0.096	0.0666	0.977009844
SLC12A6	4.57E-05	0	0	0	0	0	0	2	2	4	0	1	0.0962	0.501	0.978478704
DDX51	2.60E-05	0	2	1	3	0	0	4	1	4	3	1	0.0963	0.103	0.978929323
ZBED1	2.73E-05	0	0	0	0	0	0	2	0	4	2	1	0.0963	0.466	0.978363468
TMEM199	8.18E-06	0	1	0	1	0	0	0	0	5	3	1	0.0966	0.0683	0.980844367
EAF2	1.00E-05	0	0	0	1	0	0	1	0	8	4	1	0.0967	0.148	0.981292841
PKN1	3.72E-05	0	2	0	0	0	0	3	2	6	7	1	0.0967	0.0664	0.980726601
PNPLA7	5.28E-05	0	1	1	14	5	1	5	7	17	12	1	0.0968	0.0946	0.981174625
HCLS1	1.83E-05	0	0	0	2	0	0	4	5	5	5	1	0.0971	0.0692	0.983648184
MCAM	2.51E-05	0	0	0	2	0	1	3	0	2	5	1	0.0974	0.0686	0.986118894
OBP2A	6.53E-06	0	0	1	0	0	0	5	0	5	1	1	0.0974	0.781	0.98555118
OR2D2	1.27E-05	0	0	0	5	1	0	2	1	6	3	1	0.0974	0.103	0.98498412
SLC5A9	2.82E-05	0	2	0	5	2	0	13	3	24	12	1	0.0981	0.106	0.991492582
CRB1	5.58E-05	0	1	1	4	0	0	5	6	4	14	1	0.0984	0.0968	0.993953103
CSDE1	3.16E-05	1	0	1	1	0	0	2	1	3	2	0.004349292	0.0985	0.0704	0.994391729
DGUOK	1.10E-05	0	0	0	2	0	0	2	2	4	2	1	0.0987	0.0698	0.995838806
ATPBD4	1.04E-05	0	1	0	0	0	0	8	8	10	0	1	0.0988	0.151	0.996275846
TRRAP	0.000151521	0	0	0	2	0	1	1	2	8	13	1	0.0988	0.0789	0.995704587
LACE1	1.87E-05	0	1	0	1	0	0	4	2	4	10	1	0.0989	0.0705	0.996141203
CLEC12B	1.08E-05	0	0	0	3	0	0	0	1	0	1	1	0.0991	0.0302	0.997583963
LIMCH1	4.15E-05	0	5	1	0	0	0	13	18	15	15	1	0.0996	0.098	1.002043274
MRPS35	1.24E-05	0	0	0	2	0	0	2	2	3	1	1	0.0998	0.0628	1.003481007
CDH10	3.09E-05	0	0	0	2	0	0	2	0	3	3	1	0.1004	0.0667	1.008936764
PER1	5.20E-05	0	0	0	5	1	0	8	7	18	8	1	0.1005	0.1021	1.009364571
EDC4	5.56E-05	0	0	0	2	0	0	2	6	5	7	1	0.1007	0.073	1.01079566
ALG1L	8.27E-06	0	1	0	0	0	0	0	0	1	0	1	0.101	0.161	1.013228311
ATP2A2	4.12E-05	0	0	0	1	0	0	0	0	3	1	1	0.101	0.163	1.012650314
C8orf45	2.70E-05	0	0	0	2	0	0	2	1	4	3	1	0.101	0.0704	1.012072976
FUCA1	1.84E-05	0	0	0	1	0	0	3	2	10	4	1	0.101	0.157	1.011496296
GPS1	2.09E-05	0	0	0	1	0	1	2	2	0	0	1	0.101	0.139	1.010920273
IQCF5	5.83E-06	0	1	0	0	0	0	1	0	0	0	1	0.101	0.181	1.010344906
LMAN2L	1.41E-05	0	0	0	1	0	0	1	0	2	1	1	0.101	0.181	1.009770193
NAT2	1.15E-05	0	0	0	1	0	0	2	0	1	1	1	0.101	0.177	1.009196134
OR10A2	1.27E-05	0	0	0	1	0	0	1	0	2	1	1	0.101	0.189	1.008622727
PCDH7	4.89E-05	0	0	0	0	0	0	2	0	4	2	1	0.101	0.486	1.008049972
PDE5A	3.41E-05	0	3	1	8	3	0	2	0	7	6	1	0.101	0.111	1.007477866
TCF25	2.64E-05	0	1	0	1	0	0	3	6	6	7	1	0.101	0.0669	1.00690641
VPS26B	1.30E-05	0	0	0	1	0	0	0	0	1	0	1	0.101	0.164	1.006335601
HAUS8	1.57E-05	0	0	0	1	0	0	2	2	7	2	1	0.1012	0.17	1.007757054
C2orf62	1.54E-05	0	1	0	0	0	0	2	0	12	6	1	0.1013	0.162	1.008181653
RIOK2	2.11E-05	0	0	0	0	0	0	3	1	8	4	1	0.1013	0.456	1.007611092
C14orf28	1.23E-05	0	0	0	2	0	0	2	1	4	3	1	0.1015	0.0701	1.009029412
CWC22	3.45E-05	0	0	0	1	0	0	2	0	5	3	1	0.1015	0.175	1.008459016
ABT1	1.06E-05	0	0	0	1	0	0	0	0	5	2	1	0.102	0.178	1.012854237
ARPC4-TTLL3	2.47E-05	0	0	0	1	0	0	2	1	1	0	1	0.102	0.163	1.012282326
AS3MT	1.44E-05	0	1	0	0	0	0	0	0	1	0	1	0.102	0.172	1.011711061
C2orf81	2.34E-05	0	1	0	0	0	0	1	0	0	0	1	0.102	0.16	1.01114044
C6orf25	9.83E-06	0	0	0	1	0	0	1	0	0	0	1	0.102	0.176	1.010570462
DKK2	1.01E-05	0	0	0	0	0	0	3	0	1	1	1	0.102	0.494	1.010001127
DOK6	1.28E-05	0	0	0	0	0	0	6	2	7	4	1	0.102	0.479	1.009432432
FAM113B	1.76E-05	0	0	0	0	0	0	0	0	4	1	1	0.102	0.494	1.008864378
HEATR2	3.43E-05	0	1	0	1	0	0	4	3	6	12	1	0.102	0.0676	1.008296963
IDUA	2.64E-05	0	0	0	1	0	0	1	0	2	1	1	0.102	0.172	1.007730185
NAF1	1.97E-05	0	1	0	1	0	0	0	0	6	5	1	0.102	0.0653	1.007164045
NCBP2	5.92E-06	0	1	0	0	0	0	0	0	1	0	1	0.102	0.145	1.00659854
NMNAT1	1.07E-05	0	0	0	1	0	0	0	0	1	0	1	0.102	0.139	1.00603367
PRM3	3.84E-06	0	0	0	1	0	0	0	0	1	0	1	0.102	0.152	1.005469434
RHPN1	2.65E-05	0	1	0	1	0	0	4	2	4	4	1	0.102	0.0671	1.00490583
SCARF2	3.46E-05	0	0	0	0	0	0	0	0	4	1	1	0.102	0.477	1.004342857
TMTC1	3.49E-05	0	0	0	5	1	0	2	1	4	3	1	0.102	0.105	1.003780515
ZNF18	2.12E-05	0	0	0	4	1	0	2	1	5	1	1	0.102	0.151	1.003218802
ZSCAN5B	1.93E-05	0	0	0	1	0	0	6	4	3	0	1	0.102	0.155	1.002657718
SLC22A12	2.24E-05	0	1	0	0	0	0	3	1	6	3	1	0.1022	0.163	1.004062158
ABCG5	2.61E-05	0	0	0	2	0	0	2	8	5	7	1	0.103	0.0694	1.011356425
ARHGEF15	3.43E-05	0	0	0	2	0	0	3	4	6	7	1	0.103	0.0716	1.010791736
B3GAT1	1.33E-05	0	0	0	1	0	0	1	0	0	0	1	0.103	0.166	1.010227679
C1orf52	6.83E-06	0	0	0	1	0	0	0	0	1	0	1	0.103	0.166	1.00966425
CBFA2T2	2.38E-05	0	0	0	0	0	0	3	2	5	1	1	0.103	0.498	1.009101449
CD36	1.86E-05	0	3	1	8	3	0	6	7	14	10	1	0.103	0.1023	1.008539276
FBXW11	2.13E-05	0	1	0	0	0	0	1	0	0	0	1	0.103	0.166	1.007977728
FCF1	7.61E-06	0	1	0	0	0	0	1	0	0	0	1	0.103	0.155	1.007416806
FPGT-TNNI3K	3.69E-05	0	1	0	1	0	0	6	8	4	4	1	0.103	0.0695	1.006856507
GALNS	2.08E-05	0	0	0	0	0	0	1	0	5	2	1	0.103	0.494	1.006296832
GRIK3	3.67E-05	0	0	0	2	0	0	3	2	3	6	1	0.103	0.0732	1.005737778
HDDC3	5.35E-06	0	0	0	1	0	0	1	0	0	0	1	0.103	0.178	1.005179345
KCNB2	3.56E-05	0	0	0	1	0	0	1	1	4	1	1	0.103	0.178	1.004621532
KIAA1211	4.65E-05	0	2	1	3	0	0	1	0	6	11	1	0.103	0.106	1.004064337
MFNG	1.31E-05	0	0	0	2	0	0	1	4	4	11	1	0.103	0.0719	1.003507761
NSUN3	1.33E-05	0	2	0	0	0	0	3	1	2	2	1	0.103	0.0665	1.002951801
OR51A4	1.31E-05	0	0	0	0	0	0	6	2	0	0	1	0.103	0.479	1.002396456
RGPD4	6.77E-05	0	1	0	0	0	0	7	3	0	0	1	0.103	0.165	1.001841727
RPP40	1.44E-05	0	0	0	1	0	0	1	2	6	1	1	0.103	0.164	1.001287611
SELL	1.49E-05	0	1	0	0	0	0	1	0	0	0	1	0.103	0.163	1.000734107
TTYH1	1.87E-05	0	1	0	0	0	0	6	3	11	5	1	0.103	0.174	1.000181215
MUC5B	0.000234964	0	0	0	3	4	0	16	8	36	24	1	0.103006695	0.733	0.999693908
ATP6V1E2	8.57E-06	0	1	0	1	0	0	3	2	5	6	1	0.1032	0.0634	1.001017219
OR4F6	1.31E-05	0	0	0	1	0	0	1	0	0	0	1	0.1036	0.168	1.004342857
TMEM14E	5.09E-06	0	1	0	0	0	0	0	0	1	0	1	0.1036	0.176	1.003789195
CNGA3	2.71E-05	0	2	1	3	0	0	2	4	10	8	1	0.1037	0.1035	1.004204518
PPAPDC1B	1.07E-05	0	0	0	1	0	0	4	3	3	0	1	0.1037	0.186	1.003651542
MIIP	1.56E-05	0	0	0	2	0	0	2	2	4	2	1	0.1039	0.0686	1.005033792
COL10A1	2.64E-05	0	0	0	4	1	0	2	1	4	1	1	0.104	0.146	1.005447745
HMBS	1.41E-05	0	0	0	0	0	0	3	0	3	2	1	0.104	0.497	1.004894997
LIMD2	5.05E-06	0	0	0	1	0	0	1	0	0	0	1	0.104	0.147	1.004342857
LPIN1	3.48E-05	0	0	0	2	0	0	0	8	6	4	1	0.104	0.0728	1.003791323
LYSMD4	1.17E-05	0	0	0	0	0	0	1	1	8	3	1	0.104	0.477	1.003240395
PCDHGA7	3.68E-05	0	0	0	2	0	0	5	7	0	0	1	0.104	0.0724	1.002690071
PSG9	1.71E-05	0	2	0	5	2	0	1	8	5	2	1	0.104	0.1089	1.002140351
RHOQ	7.96E-06	0	0	0	1	0	0	1	0	0	0	1	0.104	0.17	1.001591233
STARD3	1.81E-05	0	0	0	1	0	0	2	0	7	4	1	0.104	0.155	1.001042716
TBXAS1	2.33E-05	0	0	0	2	0	0	5	7	6	6	1	0.104	0.0663	1.0004948
TMEM18	5.61E-06	0	0	0	1	0	0	0	0	1	0	1	0.104	0.137	0.999947484
ZNF574	3.61E-05	0	0	0	0	0	0	4	1	2	1	1	0.104	0.475	0.999400765
WWP1	3.57E-05	0	0	0	1	0	0	3	1	6	3	1	0.1041	0.169	0.999815082
YAF2	7.79E-06	0	0	0	1	0	0	1	0	0	0	1	0.1041	0.168	0.999269033
B3GNT1	1.65E-05	0	2	0	0	0	0	1	0	2	2	1	0.1044	0.0678	1.001601747
WDR69	1.62E-05	0	0	0	2	0	0	1	4	6	6	1	0.1044	0.0695	1.001055319
EYS	0.000124356	0	3	0	4	2	0	7	4	6	11	1	0.1045	0.126	1.00146783
APITD1	5.13E-06	0	1	0	0	0	0	1	0	0	0	1	0.1046	0.179	1.001879891
LEAP2	3.06E-06	0	1	0	0	0	0	0	0	1	0	1	0.1046	0.169	1.001334205
NLRP14	4.26E-05	0	1	2	6	0	0	2	4	17	24	1	0.1046	0.1037	1.000789113
C1orf216	9.05E-06	0	0	0	1	0	0	0	0	1	0	1	0.105	0.152	1.004069641
CCL14	4.39E-06	0	0	0	1	0	0	1	0	2	1	1	0.105	0.156	1.003523654
CTTNBP2	6.49E-05	1	1	0	3	2	0	7	10	16	16	0.008912096	0.105	0.0997	1.002978261
MDH2	1.35E-05	0	0	0	1	0	0	2	1	1	0	1	0.105	0.15	1.00243346
OPA3	7.09E-06	0	0	0	1	0	0	0	0	1	0	1	0.105	0.162	1.001889251
OR5M8	1.28E-05	0	1	0	0	0	0	1	1	4	1	1	0.105	0.173	1.001345632
RHEBL1	7.13E-06	0	0	0	1	0	0	0	0	1	0	1	0.105	0.148	1.000802603
RNMT	1.81E-05	0	0	0	1	0	0	1	0	2	1	1	0.105	0.175	1.000260163
SEC14L3	1.57E-05	0	2	0	1	0	0	0	3	1	0	1	0.105	0.0328	0.99971831
VARS	5.01E-05	0	0	0	0	0	0	0	0	10	4	1	0.105	0.506	0.999177044
ZC3H12B	3.28E-05	0	0	0	1	0	1	0	0	0	1	1	0.105	0.156	0.998636364
ZDHHC18	1.59E-05	0	0	0	0	0	0	3	2	3	0	1	0.105	0.478	0.998096268
SACS	0.000179404	0	0	0	3	0	0	13	11	57	54	1	0.105017259	0.0352	0.997720724
TAS2R19	1.22E-05	0	0	0	1	0	0	0	0	1	0	1	0.1051	0.152	0.997967369
C15orf58	1.55E-05	0	0	0	0	0	0	3	1	6	3	1	0.1059	0.474	1.005020734
AFF3	4.88E-05	0	0	0	0	0	0	3	4	11	3	1	0.106	0.491	1.005426875
APPL1	2.73E-05	0	0	0	2	0	0	3	6	5	6	1	0.106	0.07	1.004884574
CCDC75	9.48E-06	0	0	0	1	0	0	1	0	0	0	1	0.106	0.155	1.004342857
DHODH	1.53E-05	0	0	0	2	0	0	3	2	6	8	1	0.106	0.0674	1.003801724
DUSP28	7.05E-06	0	0	0	1	0	0	0	0	1	0	1	0.106	0.167	1.003261174
